Geonames Feature Code,Geonames Label,Wikidata URI,Wikidata label,AAT ID,AAT label,description,Geonames Feature Class,Wikipedia Code
ADM1,first-order administrative division,http://www.wikidata.org/entity/Q10864048,first-level administrative country subdivision,http://vocab.getty.edu/aat/300387064,first level subdivisions (political entities),"a primary administrative division of a country, such as a state in the United States",A,A.ADM1
ADM1H,historical first-order administrative division,,,,,a former first-order administrative division,A,A.ADM1H
ADM2,second-order administrative division,http://www.wikidata.org/entity/Q13220204,second-level administrative country subdivision,http://vocab.getty.edu/aat/300387145,second level subdivisions (political entities),a subdivision of a first-order administrative division,A,A.ADM2
ADM2H,historical second-order administrative division,,,,,a former second-order administrative division,A,A.ADM2H
ADM3,third-order administrative division,http://www.wikidata.org/entity/Q13221722,third-order administrative division,http://vocab.getty.edu/aat/300387198,third level subdivisions (political entities),a subdivision of a second-order administrative division,A,A.ADM3
ADM3H,historical third-order administrative division,,,,,a former third-order administrative division,A,A.ADM3H
ADM4,fourth-order administrative division,http://www.wikidata.org/entity/Q14757767,fourth-level administrative country subdivision,http://vocab.getty.edu/aat/300387199,fourth level subdivisions (political entities),a subdivision of a third-order administrative division,A,A.ADM4
ADM4H,historical fourth-order administrative division,,,,,a former fourth-order administrative division,A,A.ADM4H
ADM5,fifth-order administrative division,http://www.wikidata.org/entity/Q15640612,fifth-level administrative country subdivision,,,a subdivision of a fourth-order administrative division,A,A.ADM5
ADM5H,historical fifth-order administrative division,,,,,a former fifth-order administrative division,A,A.ADM5H
ADMD,administrative division,http://www.wikidata.org/entity/Q15284,first-level NUTS of the European Union,http://vocab.getty.edu/aat/300265612,municipalities,"an administrative division of a country, undifferentiated as to administrative level",A,A.ADMD
ADMDH,historical administrative division ,http://www.wikidata.org/entity/Q19832712,historical administrative division,,,"a former administrative division of a political entity, undifferentiated as to administrative level",A,A.ADMDH
LTER,leased area,,,,,"a tract of land leased to another country, usually for military installations",A,A.LTER
PCL,political entity,http://www.wikidata.org/entity/Q7225121,political structure,,,,A,A.PCL
PCLD,dependent political entity,http://www.wikidata.org/entity/Q46395,British Overseas Territories,,,,A,A.PCLD
PCLF,freely associated state,http://www.wikidata.org/entity/Q1138279,associated state,,,,A,A.PCLF
PCLH,historical political entity,http://www.wikidata.org/entity/Q3024240,historical country,,,a former political entity,A,A.PCLH
PCLI,independent political entity,http://www.wikidata.org/entity/Q6256,country,,,,A,A.PCLI
PCLIX,section of independent political entity,,,,,,A,A.PCLIX
PCLS,semi-independent political entity,,,,,,A,A.PCLS
PRSH,parish,http://www.wikidata.org/entity/Q102496,parish,,,an ecclesiastical district,A,A.PRSH
TERR,territory,http://www.wikidata.org/entity/Q462778,insular area,,,,A,A.TERR
ZN,zone,http://www.wikidata.org/entity/Q219858,zone,,,,A,A.ZN
ZNB,buffer zone,http://www.wikidata.org/entity/Q1054581,buffer zone,,,a zone recognized as a buffer between two nations in which military presence is minimal or absent,A,A.ZNB
